# Hetzner Cloud Pricing for OpenCost CSV Provider
# Generated: 2026-02-26T11:39:02.783509
# Source: Hetzner Cloud API (https://api.hetzner.cloud/v1/pricing)
# Prices in EUR per hour (net, excluding VAT)
#
EndTimestamp,InstanceID,Region,AssetClass,InstanceIDField,InstanceType,MarketPriceHourly,Version
,cx43,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cx43,0.014400,2026.02
,cx43,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cx43,0.014400,2026.02
,cx43,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cx43,0.014400,2026.02
,cx53,fsn1,node,metadata.labels.node.kubernetes.io/instance-type,cx53,0.027200,2026.02
,cx53,hel1,node,metadata.labels.node.kubernetes.io/instance-type,cx53,0.027200,2026.02
,cx53,nbg1,node,metadata.labels.node.kubernetes.io/instance-type,cx53,0.027200,2026.02
,lb11,fsn1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb11,0.008800,2026.02
,lb11,nbg1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb11,0.008800,2026.02
,lb11,hel1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb11,0.008800,2026.02
,lb11,ash,node,metadata.labels.load-balancer.hetzner.cloud/type,lb11,0.008800,2026.02
,lb11,hil,node,metadata.labels.load-balancer.hetzner.cloud/type,lb11,0.008800,2026.02
,lb11,sin,node,metadata.labels.load-balancer.hetzner.cloud/type,lb11,0.008800,2026.02
,lb21,fsn1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb21,0.025300,2026.02
,lb21,nbg1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb21,0.025300,2026.02
,lb21,hel1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb21,0.025300,2026.02
,lb21,ash,node,metadata.labels.load-balancer.hetzner.cloud/type,lb21,0.025300,2026.02
,lb21,hil,node,metadata.labels.load-balancer.hetzner.cloud/type,lb21,0.025300,2026.02
,lb21,sin,node,metadata.labels.load-balancer.hetzner.cloud/type,lb21,0.025300,2026.02
,lb31,fsn1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb31,0.049500,2026.02
,lb31,nbg1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb31,0.049500,2026.02
,lb31,hel1,node,metadata.labels.load-balancer.hetzner.cloud/type,lb31,0.049500,2026.02
,lb31,ash,node,metadata.labels.load-balancer.hetzner.cloud/type,lb31,0.049500,2026.02
,lb31,hil,node,metadata.labels.load-balancer.hetzner.cloud/type,lb31,0.049500,2026.02
,lb31,sin,node,metadata.labels.load-balancer.hetzner.cloud/type,lb31,0.049500,2026.02
,ssd,fsn1,pv,spec.storageClassName,hcloud-volumes,0.00006027,2026.02
,ssd,nbg1,pv,spec.storageClassName,hcloud-volumes,0.00006027,2026.02
,ssd,hel1,pv,spec.storageClassName,hcloud-volumes,0.00006027,2026.02
